0,1,2
,,
😀,Улыбающееся лицо,&#128512;
😂,Лицо со слезами радости,&#128514;
😍,Лицо с глазами в форме сердца,&#128525;
😎,Лицо в солнцезащитных очках,&#128526;
😭,Плачущий,&#128557;
😊,Смущённая улыбка,&#128522;
😢,Грустное лицо,&#128546;
😅,Лицо с каплей пота,&#128517;
🤔,Задумчивое лицо,&#129300;
👍,Большой палец вверх,&#128077;
👎,Большой палец вниз,&#128078;
👏,Аплодисменты,&#128079;
🙏,Сложенные руки,&#128591;
❤,Красное сердце,&#10084;
💔,Разбитое сердце,&#128148;
🔥,Огонь,&#128293;
💯,Сто баллов,&#128175;
🎉,Конфетти,&#127881;
🎂,Торт,&#127874;
🌟,Звезда,&#127775;
✨,Сияние,&#10024;
🌈,Радуга,&#127752;
☀,Солнце,&#9728;
☁,Облако,&#9729;
🌧,Дождь,&#127783;
❄,Снег,&#10052;
🌍,Земной шар,&#127757;
💡,Лампочка,&#128161;
💤,Сон,&#128164;
🎵,Нота,&#127925;
🎶,Музыка,&#127926;
📱,Телефон,&#128241;
💻,Ноутбук,&#128187;
🚗,Машина,&#128663;
🚀,Ракета,&#128640;
✈,Самолёт,&#9992;
🚲,Велосипед,&#128690;
🐶,Собака,&#128054;
🐱,Кошка,&#128049;
🐭,Мышь,&#128045;
🦊,Лиса,&#129418;
🐻,Медведь,&#128059;
🍎,Яблоко,&#127822;
🍕,Пицца,&#127829;
🍔,Бургер,&#127828;
🍩,Пончик,&#127849;
🍉,Арбуз,&#127817;
